iter	Logloss
0	0.6284183084
1	0.5703696926
2	0.5137464333
3	0.4719712362
4	0.4271662675
5	0.3845335327
6	0.3527087074
7	0.3217243345
8	0.2961251624
9	0.264121601
10	0.2445707507
11	0.21972772
12	0.1987425724
13	0.1832792587
14	0.166899226
15	0.1534316074
16	0.1425265658
17	0.1298539393
18	0.1193768827
19	0.1065670924
20	0.09947445823
21	0.09257989799
22	0.08574715329
23	0.07967420292
24	0.07264505269
25	0.065855358
26	0.06003030996
27	0.0546919534
28	0.05000520513
29	0.04719686216
30	0.04359942239
31	0.03993774665
32	0.03643142044
33	0.0333060046
34	0.03028002176
35	0.02790014291
36	0.025780289
37	0.02382015702
38	0.02219841677
39	0.02052250372
40	0.01923302094
41	0.01787947158
42	0.01651549248
43	0.01562358252
44	0.01449931009
45	0.01381139939
46	0.01292166032
47	0.01199829415
48	0.01126218624
49	0.0105454818
50	0.009754580255
51	0.009146487503
52	0.00844774313
53	0.008137013425
54	0.007553621049
55	0.007117793209
56	0.006661498887
57	0.006225347644
58	0.005888172869
59	0.005582563055
60	0.005274422615
61	0.004984956997
62	0.004712664559
63	0.004431944756
64	0.004177440462
65	0.003959542076
66	0.003790234528
67	0.003574885027
68	0.003367521027
69	0.003213096268
70	0.003094763879
71	0.002938632399
72	0.002826831608
73	0.002702054649
74	0.00258539764
75	0.002491260674
76	0.002378132342
77	0.002289368766
78	0.002205842313
79	0.002150842289
80	0.002070569258
81	0.001975002734
82	0.00192157303
83	0.001860213784
84	0.001797744295
85	0.001742876176
86	0.00168699747
87	0.001628388963
88	0.001584071038
89	0.001546219757
90	0.001506674655
91	0.001467470125
92	0.001425779028
93	0.001382692531
94	0.001349212999
95	0.001311423265
96	0.001264771254
97	0.001239279359
98	0.001222529282
99	0.001190102718
100	0.001161687117
101	0.00112090718
102	0.001092312619
103	0.001075973473
104	0.001057601659
105	0.001043468328
106	0.001024292959
107	0.00100945164
108	0.000985033378
109	0.0009620584368
110	0.0009397438365
111	0.0009178713713
112	0.0009110607025
113	0.0008955510025
114	0.0008824771783
115	0.0008732009278
116	0.0008590889903
117	0.0008455047169
118	0.000832527096
119	0.0008186156045
120	0.0007951828124
121	0.0007862238326
122	0.0007729547405
123	0.0007583396666
124	0.0007428995527
125	0.0007356100481
